ID,Age,Experience,Income,ZIPCode,Family,CCAvg,Education,Mortgage,PersonalLoan,SecuritiesAccount,CDAccount,Online,CreditCard
1,25,1,3626000,91107,4,118400,1,0,0,1,0,0,0
2,45,19,2516000,90089,3,111000,1,0,0,1,0,0,0
3,39,15,814000,94720,1,74000,1,0,0,0,0,0,0
4,35,9,7400000,94112,1,199800,2,0,0,0,0,0,0
5,35,8,3330000,91330,4,74000,2,0,0,0,0,0,1
6,37,13,2146000,92121,4,29600,2,11470000,0,0,0,1,0
7,53,27,5328000,91711,2,111000,2,0,0,0,0,1,0
8,50,24,1628000,93943,1,22200,3,0,0,0,0,0,1
9,35,10,5994000,90089,3,44400,2,7696000,0,0,0,1,0
10,34,9,13320000,93023,1,658600,3,0,1,0,0,0,0
11,65,39,7770000,94710,4,177600,3,0,0,0,0,0,0
12,29,5,3330000,90277,3,7400,2,0,0,0,0,1,0
13,48,23,8436000,93106,2,281200,3,0,0,1,0,0,0
14,59,32,2960000,94920,4,185000,2,0,0,0,0,1,0
15,67,41,8288000,91741,1,148000,1,0,0,1,0,0,0
16,60,30,1628000,95054,1,111000,3,0,0,0,0,1,1
17,38,14,9620000,95010,4,347800,3,9916000,1,0,0,0,0
18,42,18,5994000,94305,4,177600,1,0,0,0,0,0,0
19,46,21,14282000,91604,2,599400,3,0,1,0,0,0,0
20,55,28,1554000,94720,1,37000,2,0,0,1,0,0,1
21,56,31,1850000,94015,4,66600,2,8214000,0,0,0,1,0
22,57,27,4662000,90095,3,148000,3,0,0,0,0,1,0
23,29,5,4588000,90277,1,88800,1,19240000,0,0,0,1,0
24,44,18,3182000,91320,2,51800,1,12062000,0,1,0,0,0
25,36,11,11248000,95521,2,288600,1,11766000,0,0,0,0,1
26,43,19,2146000,94305,3,37000,1,7178000,0,0,0,1,0
27,40,16,6142000,95064,4,14800,3,0,0,0,0,0,0
28,46,20,11692000,90064,1,177600,1,0,0,0,0,1,1
29,56,30,3552000,94539,1,162800,3,0,0,0,0,1,1
30,38,13,8806000,94104,1,244200,2,0,1,0,1,1,1
31,59,35,2590000,93106,1,88800,3,9028000,0,0,0,1,0
32,40,16,2146000,94117,1,148000,2,0,0,0,0,1,0
33,53,28,3034000,94801,2,44400,3,14282000,0,0,0,0,0
34,30,6,1332000,91330,3,66600,3,0,0,0,0,0,0
35,31,5,3700000,94035,4,133200,3,0,0,0,0,1,0
36,48,24,5994000,92647,3,51800,1,0,0,0,0,0,0
37,59,35,8954000,94720,1,214600,1,0,0,0,0,0,1
38,51,25,5254000,95814,1,103600,3,14652000,0,0,0,0,0
39,42,18,10434000,94114,3,370000,3,0,1,1,1,1,0
40,38,13,5920000,94115,4,51800,3,21090000,0,0,0,1,0
41,57,32,6216000,92672,3,118400,3,0,0,1,0,0,0
42,34,9,4440000,94122,3,170200,1,0,0,0,0,0,0
43,32,7,9768000,90019,4,81400,2,30488000,1,0,0,1,0
44,39,15,3330000,95616,1,51800,1,0,0,0,0,1,0
45,46,20,7696000,94065,1,421800,1,0,0,0,0,1,1
46,57,31,3848000,94720,4,185000,1,0,0,0,0,0,1
